MerchantID,MerchantName,RepaymentRate,DisputeRate,DefaultRate,TransactionVolume,TenureMonths,EngagementScore,ComplianceScore,ResponsivenessScore,ExclusivityFlag
M042,Merchant P42,0.84,0.05,0.21,7237,10,1.0,0.74,0.83,1
M043,Merchant Q43,0.71,0.08,0.2,2559,9,0.79,0.68,0.89,1
M044,Merchant R44,0.95,0.05,0.09,5672,24,0.57,0.83,0.83,1
M045,Merchant S45,0.77,0.05,0.01,6583,35,0.82,0.74,0.72,0
M046,Merchant T46,0.89,0.02,0.2,9404,35,0.94,0.81,0.69,0
M047,Merchant U47,0.79,0.1,0.1,6992,18,0.97,0.78,0.9,0
M048,Merchant V48,0.85,0.08,0.21,5343,32,0.34,0.83,0.52,0
M049,Merchant W49,0.85,0.02,0.21,7308,24,0.58,0.76,0.98,1
M050,Merchant X50,0.75,0.05,0.19,6070,23,0.37,0.88,0.83,1
M051,Merchant Y51,0.97,0.14,0.07,6799,32,0.53,0.67,0.52,0
M052,Merchant Z52,0.92,0.04,0.09,3470,12,0.42,0.88,0.84,0
M053,Merchant A53,0.96,0.03,0.19,2580,13,0.75,0.76,0.72,0
M054,Merchant B54,0.95,0.08,0.08,8933,23,0.57,0.95,0.82,1
M055,Merchant C55,0.87,0.15,0.05,9004,25,0.46,0.81,0.86,1
M056,Merchant D56,0.96,0.04,0.13,4294,35,0.49,0.99,0.45,0
M057,Merchant E57,0.72,0.1,0.21,5147,30,0.55,0.84,0.7,1
M058,Merchant F58,0.75,0.12,0.16,6249,17,0.48,0.69,0.96,1
M059,Merchant G59,0.71,0.04,0.13,3679,20,0.62,0.93,0.59,0
M060,Merchant H60,0.79,0.11,0.03,5506,25,0.32,0.74,0.76,1
M061,Merchant I61,0.81,0.06,0.14,7092,22,0.5,0.74,0.62,1
M062,Merchant J62,0.78,0.1,0.22,9253,13,0.59,0.61,0.67,0
M063,Merchant K63,0.93,0.1,0.04,4744,19,0.72,0.82,0.73,0
M064,Merchant L64,0.8,0.09,0.12,5356,12,0.49,0.81,0.73,0
M065,Merchant M65,0.78,0.02,0.19,6045,19,0.39,0.74,0.52,0
M066,Merchant N66,0.85,0.13,0.17,3243,12,0.35,0.96,0.81,1
M067,Merchant O67,0.74,0.05,0.16,7188,9,0.96,0.65,0.45,1
M068,Merchant P68,0.92,0.04,0.16,5118,7,0.59,0.73,0.48,0
M069,Merchant Q69,0.72,0.02,0.09,7104,28,0.71,0.73,0.4,0
M070,Merchant R70,0.98,0.09,0.07,4141,14,0.94,0.64,0.47,0
M071,Merchant S71,0.92,0.1,0.18,7869,31,0.36,0.79,0.68,0
M072,Merchant T72,0.76,0.01,0.18,7053,19,0.91,0.88,0.76,1
M073,Merchant U73,0.7,0.08,0.19,5059,16,0.69,0.8,0.88,0
M074,Merchant V74,0.93,0.04,0.2,6548,5,0.42,0.66,0.46,0
M075,Merchant W75,0.9,0.1,0.12,7323,35,0.59,0.75,0.91,0
M076,Merchant X76,0.9,0.03,0.12,4959,12,0.84,0.6,0.85,1
M077,Merchant Y77,0.92,0.11,0.18,4265,25,0.64,0.95,0.65,0
M078,Merchant Z78,0.72,0.06,0.15,8617,21,0.99,0.63,0.96,1
M079,Merchant A79,0.8,0.14,0.16,4479,23,0.56,0.84,0.99,0
M080,Merchant B80,0.73,0.03,0.18,8484,16,0.82,0.99,0.52,1
M081,Merchant C81,0.94,0.06,0.2,6646,14,0.58,0.81,0.63,1
M082,Merchant D82,0.87,0.03,0.08,3635,31,0.88,0.97,0.96,0
M083,Merchant E83,0.79,0.14,0.09,7408,5,0.7,0.69,0.83,0
M084,Merchant F84,0.72,0.13,0.03,9421,35,0.34,0.9,0.43,1
M085,Merchant G85,0.79,0.05,0.13,3757,23,0.33,0.81,0.87,1
M086,Merchant H86,0.79,0.1,0.02,6452,29,0.39,0.89,0.9,0
M087,Merchant I87,0.9,0.12,0.11,4070,11,0.31,0.62,0.85,0
M088,Merchant J88,0.88,0.09,0.12,7881,18,0.35,0.66,0.88,1
M089,Merchant K89,0.95,0.08,0.07,8665,12,0.78,0.65,0.9,1
M090,Merchant L90,0.83,0.04,0.13,7877,9,0.67,0.87,0.51,0
M091,Merchant M91,0.73,0.02,0.02,9267,10,0.82,0.94,0.54,1
M092,Merchant N92,0.9,0.14,0.02,4849,17,0.94,0.9,0.78,0
M093,Merchant O93,0.91,0.14,0.18,5251,7,0.71,0.61,0.94,1
M094,Merchant P94,0.86,0.1,0.09,9390,13,0.81,0.95,0.59,0
M095,Merchant Q95,0.92,0.06,0.04,8905,9,0.83,0.74,0.75,0
M096,Merchant R96,0.84,0.06,0.12,5730,27,0.56,0.76,0.81,0
M097,Merchant S97,0.85,0.11,0.17,4489,2,0.47,0.64,0.67,1
M098,Merchant T98,0.82,0.14,0.06,3631,5,0.44,0.89,0.83,0
M099,Merchant U99,0.71,0.13,0.14,4816,29,0.48,0.67,0.94,0
M100,Merchant V100,0.73,0.12,0.03,3015,19,0.49,0.83,0.77,0
